,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
321,F29735,5418.0,E,2.0,2019-10-02 09:36:28,2019-10-02,2019-10-02,2019-10-02,,1014.82,0.0,0
322,F29736,2385.0,E,4.0,2019-10-02 09:45:58,2019-10-02,2019-10-02,2019-11-01,,23266.250000000004,0.0,0
323,F29737,1965.0,E,2.0,2019-10-02 09:57:08,2019-10-02,2019-10-02,2019-10-17,,976.5000000000001,146.48,0
325,F29739,6760.0,E,2.0,2019-10-02 10:16:03,2019-10-02,2019-10-02,2019-10-02,,1164.5271,0.0,0
326,F29740,4486.0,E,2.0,2019-10-02 10:46:38,2019-10-02,2019-10-02,2019-10-02,,2088.0,0.0,0
327,F29741,6862.0,E,2.0,2019-10-02 10:55:24,2019-10-02,2019-10-02,2019-10-02,,224.13600000000002,0.0,0
328,F29742,3108.0,E,2.0,2019-10-02 11:36:29,2019-10-02,2019-10-02,2019-10-02,,225.00000000000003,0.0,0
329,F29743,4631.0,E,2.0,2019-10-02 11:51:03,2019-10-02,2019-10-02,2019-11-01,,1623.0000000000002,243.45000000000005,0
331,F29745,5037.0,E,2.0,2019-10-02 13:25:57,2019-10-02,2019-10-02,2019-10-02,,948.5400000000001,0.0,0
332,F29746,5258.0,E,2.0,2019-10-02 16:44:30,2019-10-02,2019-10-02,2019-10-02,,270.1,0.0,0
333,F29747,5902.0,E,2.0,2019-10-02 17:35:40,2019-10-02,2019-10-02,2019-10-02,,237.93240000000003,0.0,0
334,F29748,3655.0,E,2.0,2019-10-02 17:48:37,2019-10-02,2019-10-02,2019-10-02,,258.62,0.0,0
336,F29750,6.0,E,2.0,2019-10-02 17:59:56,2019-10-02,2019-10-02,2019-10-17,,2655.0,0.0,0
337,F29751,6720.0,C,,2019-10-02 18:10:06,2019-10-02,2019-10-02,2019-10-10,2019-10-02,60000.00000000001,0.0,0
338,F29752,5926.0,E,2.0,2019-10-02 18:15:05,2019-10-02,2019-10-02,2019-10-02,,623.73,0.0,0
339,F29753,6720.0,E,,2019-10-02 18:20:51,2019-10-02,2019-10-02,2019-10-10,,60000.00000000001,0.0,0
351,F29767,5926.0,E,2.0,2019-10-03 15:33:11,2019-10-03,2019-10-02,2019-10-03,,448.28000000000003,0.0,0
361,F29777,5926.0,E,2.0,2019-10-03 18:05:22,2019-10-03,2019-10-02,2019-10-03,,318.4200000000001,0.0,0
362,F29778,5926.0,E,2.0,2019-10-03 18:07:28,2019-10-03,2019-10-02,2019-10-03,,56.71000000000001,0.0,0
464,F29880,6253.0,E,4.0,2019-10-11 11:53:04,2019-10-11,2019-10-02,2019-10-19,,21400.0,0.0,0
479,F29895,6847.0,E,2.0,2019-10-14 12:00:10,2019-10-14,2019-10-02,2019-10-14,,12601.380000000001,0.0,0
522,F29938,1757.0,E,2.0,2019-10-17 12:26:22,2019-10-17,2019-10-02,2019-10-17,,1300.0,0.0,0
523,F29939,1757.0,E,2.0,2019-10-17 12:28:09,2019-10-17,2019-10-02,2019-10-17,,1170.6000000000001,0.0,0
539,F29955,466.0,E,1.0,2019-10-18 10:23:12,2019-10-18,2019-10-02,2019-12-17,,2577.1,0.0,0
